Module,E (W/m2),T (⁰C),Voc (V),Isc (A),FF (%),Vmp (V),Imp (A),Pm (W),Eff (%)
aSiMicro03036,1000,24.6,223.2,0.797,57.2,160.5,0.6343,101.8,7.5
aSiMicro03038,1000,25.1,223.5,0.789,60.8,164,0.6533,107.1,7.9
aSiTandem72-46,1000,25.1,59.28,1.119,56.8,43.31,0.8709,37.71,4.77
aSiTandem90-31,1000,25.2,60.23,1.197,56.9,43.89,0.9344,41.01,5.19
aSiTriple28324,1000,25,22.93,4.618,58.2,16.34,3.774,61.66,6.63
aSiTriple28325,1000,25.5,23.09,4.621,59.3,16.9,3.742,63.24,6.8
CdTe75638,1000,25.3,87.46,1.165,62.5,63.32,1.005,63.65,8.85
CdTe75669,1000,24.7,87.66,1.177,63.4,64.12,1.02,65.43,9.09
CIGS1-001,1000,25,43.18,2.518,70.7,34.09,2.255,76.88,11.2
CIGS8-001,1000,25.3,42.16,2.486,65.2,32.59,2.097,68.36,9.96
CIGS39013,1000,25.1,40.72,5.834,53.3,28.42,4.459,126.7,7.61
CIGS39017,1000,25.2,41.36,6.32,54.2,28.89,4.905,141.7,8.51
HIT05662,1000,25.2,50.85,5.493,77.7,42.04,5.162,217,18
HIT05667,1000,25.2,50.11,5.456,77.6,41.58,5.1,212,17.6
mSi0166,1000,24.9,22.07,2.728,76.5,18.29,2.52,46.08,14.4
mSi0188,1000,24.9,22.07,2.73,76,18.16,2.522,45.8,14.3
mSi0247,1000,24.8,22,2.695,76.2,18.14,2.491,45.19,14.1
mSi0251,1000,24.6,22.02,2.688,75.7,17.97,2.494,44.82,14
mSi460A8,1000,25.5,21.61,5.012,73.6,17.24,4.628,79.77,13.1
mSi460BB,1000,24.8,21.69,5.004,73.4,17.15,4.643,79.61,13.1
xSi11246,1000,24.9,22.02,5.076,69.4,17.04,4.549,77.53,12.7
xSi12922,1000,24.9,22.06,5.127,73.4,17.58,4.724,83.04,13.6
